event,enabled,cme_onset,cme_0p1_au,longitude,latitude,width,speed,notes
2017-09-06,true,2017-09-06T12:24:00,2017-09-06T14:57:00,23.0,-15.0,88.0,1238.0,Prepared seed event
2015-06-21,true,2015-06-21T02:48:00,2015-06-21T05:01:00,-8.0,7.0,94.0,1250.0,Prepared seed event
2012-07-12,true,2012-07-12T16:54:00,2012-07-12T19:35:00,-6.0,-17.0,140.0,1400.0,DONKI M2M fast Earth-directed wide event
2014-01-07,true,2014-01-07T18:24:00,2014-01-07T19:48:00,30.0,-24.0,98.0,2061.0,DONKI M2M very fast glancing event
2015-03-10,true,2015-03-10T03:36:00,2015-03-10T05:47:00,-45.0,6.0,74.0,1525.0,DONKI M2M fast eastern halo component
2015-06-18,true,2015-06-18T01:25:00,2015-06-18T03:16:00,90.0,-19.0,80.0,1720.0,DONKI M2M fast limb event
2015-06-22,true,2015-06-22T18:36:00,2015-06-22T21:10:00,3.0,14.0,90.0,1155.0,DONKI M2M central wide event
2015-06-25,true,2015-06-25T08:36:00,2015-06-25T10:51:00,46.0,23.0,82.0,1450.0,DONKI M2M glancing blow candidate
2017-09-10,true,2017-09-10T16:09:00,2017-09-10T17:18:00,85.0,-12.0,108.0,2650.0,DONKI M2M extreme west-limb fast event
2021-10-28,true,2021-10-28T15:53:00,2021-10-28T18:52:00,0.0,-17.0,98.0,1109.0,DONKI M2M central halo event
2021-11-02,true,2021-11-02T02:48:00,2021-11-02T05:52:00,-5.0,16.0,102.0,1151.0,DONKI M2M central wide event
2023-04-21,true,2023-04-21T18:12:00,2023-04-21T21:09:00,19.0,-13.0,86.0,1204.0,DONKI M2M fast Earth-facing event
2024-05-08T1224,true,2024-05-08T12:24:00,2024-05-08T15:16:00,8.0,-15.0,86.0,1156.0,DONKI M2M May 2024 storm-sequence shock
2024-05-08T2224,true,2024-05-08T22:24:00,2024-05-09T00:51:00,5.0,-6.0,90.0,1257.0,DONKI M2M May 2024 storm-sequence shock
2024-05-09T0924,true,2024-05-09T09:24:00,2024-05-09T11:21:00,14.0,-12.0,90.0,1561.0,DONKI M2M May 2024 fast shock
2024-05-11,true,2024-05-11T01:36:00,2024-05-11T03:24:00,15.0,-2.0,96.0,1820.0,DONKI M2M May 2024 fast shock
2024-05-13,true,2024-05-13T09:12:00,2024-05-13T11:15:00,26.0,-12.0,100.0,1935.0,DONKI M2M May 2024 very fast shock
2021-05-09T1123-v1,true,2021-05-09T11:23:00,2021-05-09T15:54:00,-10.0,-4.0,54.0,717.0,DONKI GST-associated CME 2021-05-09T11:23 v1 type C CR2243
2021-10-09T0709-v3,true,2021-10-09T07:09:00,2021-10-09T10:33:00,9.0,6.0,90.0,983.0,DONKI GST-associated CME 2021-10-09T07:09 v3 type C CR2249
2021-11-01T1838-v2,true,2021-11-01T18:38:00,2021-11-02T01:20:00,32.0,-30.0,64.0,509.0,DONKI GST-associated CME 2021-11-01T18:38 v2 type C CR2250
2021-11-01T2136-v2,true,2021-11-01T21:36:00,2021-11-02T02:00:00,43.0,-19.0,98.0,771.0,DONKI GST-associated CME 2021-11-01T21:36 v2 type C CR2250
